SITE,SECTORID,RECOMMENDATION_TYPE,COST,PRIORITY,CLUSTERID,CLUSTER_LEVEL,GROUP_ID,IMPLEMENTATION_DATE
25077132228,160,Entrance L2100,139742.56,3,55474110,YES,2,25
25077132228,270,Entrance L2100,72667.95,3,55474110,YES,2,25
25077132230,230,Entrance L2100,72570.86,3,55473965,YES,2,43
25077132231,220,Entrance L2100,28090.64,3,55473965,YES,2,43
25077132232,30,Entrance L2100,180357.76,3,55474110,YES,2,25
25077132233,165,Entrance L2100,94426.7,3,55473965,YES,2,43
25077132233,255,Entrance L2100,115928.14,3,55473965,YES,2,43
25077132233,345,Entrance L2100,76682.15,3,55473965,YES,2,43
25077132234,145,Refarming L1800,151006.34,1,55473965,YES,1,41
25077132234,20,Refarming L1800,91661.09,1,55473965,YES,1,41
25077132234,260,Refarming L1800,67920.51,1,55473965,YES,1,41
25077132235,10,Entrance L2100,72732.46,3,55473965,YES,2,43
25077132235,130,Entrance L2100,80374.41,3,55473965,YES,2,43
25077132235,220,Entrance L2100,53378.76,3,55473965,YES,2,43
25077132236,180,Entrance L2100,90748.58,3,55473965,YES,2,43
25077132236,30,Entrance L2100,59221.1,3,55473965,YES,2,43
25077132236,300,Entrance L2100,103740.77,3,55473965,YES,2,43
25077132237,135,Entrance L2100,72423.42,3,55473965,YES,2,43
25077132237,225,Entrance L2100,42723.83,3,55473965,YES,2,43
25077132237,315,Entrance L2100,92594.8,3,55473965,YES,2,43
25077132239,285,Entrance L2100,47097.81,3,55473965,YES,2,43
25077132239,40,Entrance L2100,94026.66,3,55473965,YES,2,43
25077132240,110,Entrance L2100,74125.84,3,55473965,YES,2,43
25077132240,325,Entrance L2100,97378.99,3,55473965,YES,2,43
25077132241,10,Entrance L2100,69137.39,3,55473965,YES,2,43
25077132241,100,Entrance L2100,32858.22,3,55473965,YES,2,43
25077132241,280,Entrance L2100,57264.28,3,55473965,YES,2,43
25077132242,330,Refarming L1800,9743.72,1,55473930,YES,1,48
25077132243,130,Entrance L2100,21672.49,3,55473930,YES,2,50
25077132243,50,Entrance L2100,50718.07,3,55473930,YES,2,50
25077132244,15,Entrance L2100,43592.93,3,55473930,YES,2,50
25077132245,160,Entrance L2100,105790.9,3,55473930,YES,2,50
25077132245,320,Entrance L2100,91201.6,3,55473930,YES,2,50
25077132245,70,Entrance L2100,78127.91,3,55473930,YES,2,50
25077132247,185,Refarming L1800,97293.72,1,55473930,YES,1,48
25077132247,325,Refarming L1800,31182.47,1,55473930,YES,1,48
25077132247,75,Refarming L1800,67821.48,1,55473930,YES,1,48
25077132249,125,Entrance L2100,102343.97,3,55473965,YES,2,43
